linkID,  Given Slope, Calculated Slope
51867645,-0.102,0.004421646
554739608,-0.094333333,-4.18E-09
51869460,-0.77125,-0.003916643
764758872,-2.3523,-4.32E-08
565390315,-2.974875,-0.004655422
760114605,-2.219736842,0.001142143
565390747,-3.290227273,-0.00913835
565390744,-0.6786,0.00657968
565390483,-0.55025,-0.024804508
565390484,-0.526,-0.004984631
762000760,-1.884333333,-0.006988163
760305983,0.502,0.009595261
764776140,-0.320176471,0.004837936
764761162,2.692039216,0.004462835
548030040,0.161090909,0.01035677
792608946,-0.040166667,0.011288251
554737096,-0.056769231,-1.19E-07
79654851,-0.714285714,0.004920298
732990610,0.7685,-0.012793346
554730583,-0.275,-0.002108628
554712535,-0.0974,0.004983962
724697720,0.651,0.0052219
60115048,0.2815,-0.010799035
67944675,-0.832,0.027413504
83717773,-0.375375,-0.009138016
572246795,-0.075,0.005221518
554712707,0.3245,0.002653225
51734665,0.056083333,0.001191829
51833449,0.11125,0.007310365
746824096,-0.8052,0.027414181
60930209,-1.136142857,-0.027414358
77319385,0.328428571,-0.023987881
565383822,-0.338052632,-0.015665516
756568009,0.055,0
756568010,0.252666667,-0.004984403
51958949,1.054125,0.00581531
572198061,-0.163857143,0.005771567
764692639,-0.032666667,0.000945368
67949737,-0.245333333,-0.019582017
51961237,-0.026666667,2.72E-07
764554678,-0.063285714,0.00483796
554732372,-0.035928571,-0.00456892
51958711,0.44875,-0.01054434
75411978,0.051,0.027412451
772019395,0.162685714,0.019937375
51581870,0.91,0.012184201
792749304,2.038538462,-0.014620764
76178481,0.238,0.011171111
76218210,-0.569588235,0.015000485
67908000,1.5538,0.002797398
51754914,0.9755,-0.016448479
792660764,0.9445,-0.013415409
554711283,0.388,-0.009535175
554711284,1.223583333,-0.01875665
67946493,0.074,0.004421323
51921845,-0.155285714,0.001522613
769249002,-0.25175,0.007309933
67917650,0.094222222,0.007049025
572247688,-0.099571429,-0.021641982
724664913,0.022666667,0.00137094
716348914,0.664428571,0.002652793
724660086,-0.072695652,2.39E-07
792515660,-0.0314,-0.002222487
769159859,-0.878,0.004568552
792712542,0.158363636,0.012793318
792678664,0.683,0.009136957
572247801,-0.328,-0.005737898
554712894,-0.3907,0.002284552
67946252,-0.9614,0.011748687
67946242,0.1085,0.009594903
554712931,-1.020842105,0.027412585
554712978,0.002333333,-0.002687486
554713012,0.989,0.001371002
64974230,0.552571429,-0.00548284
762997981,0.17,-0.001246224
792584005,0.773,2.68E-07
554726046,-0.9315,2.16E-07
586485799,0.036111111,-0.027412763
745912256,0.4856,0
79675237,0.194166667,-0.001191963
763538410,-0.1894375,0.000740768
586485301,-0.1859,-0.003762633
586486377,0.6255,0.003343269
554731031,-1.299666667,-0.008772358
554731790,-0.954,0.001912954
586527722,0.386055556,0.006252407
554723104,0.000375,-0.013707296
80689551,-0.01925,0.010213356
769308609,0.404666667,-0.000609184
67946478,-0.77,0.013706704
51921886,0.369555556,-0.005482904
769303749,-0.031,0.010837963
724498365,-0.108363636,0.004569053
67949399,-1.643571429,-0.01194969
766598363,-0.9485,-0.001749956
68016652,-0.1575,-0.003916367
554723489,-1.674,0.003045806
80675789,-0.002666667,0.00548255
67945963,-0.053,0.002652786
67903349,0.0756875,0.009137722
80675971,-0.003125,-0.001245968
80675893,-0.214263158,-0.00670099
67942148,-0.070636364,-0.003575644
586507179,-1.276133333,-0.004386348
67946322,0.3525,-0.02741496
67946323,0.628,0.002108597
51860706,-0.196333333,0.02741421
51860707,0.179285714,0.008149706
51746412,0.2125,0.010965429
67945948,-0.06375,0.007731805
540640153,-0.14375,-0.003343465
67946584,-0.040333333,0.013110879
572247186,-0.08825,0.015419754
792804060,-0.266666667,-0.000668787
554713752,-0.305,-0.001958225
783508108,-0.039,0.009138007
554745488,0.026090909,0.000740955
554745489,-0.23,0.002492175
708470042,0.459375,-0.004217152
554711934,-0.045428571,0.001015169
724664911,0.055818182,-0.00483686
67951945,0.078,-0.003045993
769163201,0.010375,-0.002284516
769172852,-0.022,0.000830652
540640972,-0.10375,0.001827618
572247807,-0.4255,0.000637383
572247792,0.031588235,-0.00078365
67899386,-0.1595,-0.001142383
554712907,-0.051,-0.006853841
67946254,-0.5284,-0.010544316
554712910,-1.007142857,-0.010966142
554743284,0.070142857,0.00101517
554743285,-0.555736842,0.013707776
551710462,1.1987,-0.009138007
51921843,-0.110166667,0.008149892
67943839,-2.054,0.011464351
769317714,-1.129461538,0.014722395
67907923,-0.504375,0.001054423
75411081,2.290333333,-0.005482961
772066626,-1.2995,-0.002030807
61217148,-1.446444444,-0.012460641
61217120,1.072428571,-0.00573741
76217027,0.392666667,0.014454618
797879685,0.07275,-0.02741221
51578446,-2.444,-0.008566353
75410578,0.023111111,-0.012460504
51921705,-0.086714286,-0.007214128
727974066,0.0528,-0.009137695
74890445,-0.425583333,0.016449524
762625631,2.264,-0.023353095
762740037,-1.363071429,0.001713162
762593359,-0.130428571,0.009135916
75404212,-0.41875,0.007476234
74986992,-0.00875,0.001612687
587021453,0.692,0.003045875
567285765,-3.188956522,0.021540248
723337441,2.335933333,-0.000990599
792553618,-0.335638889,0.010726982
723333286,-2.930166667,0.015105362
723333287,-1.568705882,0.004061348
67212070,-1.8804,0.001443102
783400199,0.0176,-0.009138274
723026685,-1.4215,-0.006326588
554710059,0.089105263,-0.012931478
792687862,2.58875,0.006987819
540633153,-1.119666667,0.003178308
554729640,-2.064857143,-0.000537374
733381918,-0.300833333,-0.008176518
727454256,1.699428571,0.004328599
554744589,0.20725,0.009869321
586518551,-0.0838,0.015352083
769166647,-0.979416667,-0.011422345
769144424,0.1572,-0.005738578
769144423,1.883538462,0.000464848
769137813,0.638111111,-0.005140084
756018731,-0.335333333,0.015012567
756018730,0.492,0.014041441
768811639,-0.457,0.003046141
768811638,-0.628833333,0.008062891
554714554,-1.287,0.004264383
733381859,-0.1595,-0.000623104
768810401,0.2289,-0.017213704
768810403,1.155428571,-0.003426983
51757875,-1.308,-0.006450312
733381892,-1.364615385,0.012793297
572217711,-0.292416667,0.007582353
51833891,-0.372,6.57E-08
718064599,0.144142857,0.015665116
60115049,0.445,0.006017753
792863328,-0.478,0.011993534
67948821,0.047,-0.01218386
773121754,-0.245461538,0.006091995
792681514,-0.1,-0.001612789
792681513,0.122166667,-0.010029498
554709816,-0.144425532,-0.010543909
772344281,-1.115095238,-1.62E-07
724100812,0.676625,-0.0112882
586835147,0.150222222,-0.002687807
543974304,1.70725,-0.005482596
762810124,-0.19575,0.000583306
539220219,0.092666667,-0.005874385
67943079,-0.12,-0.00222297
762810115,-0.365666667,0.002886077
540628111,0.240142857,0.004680437
762810123,-0.187176471,0.00074073
540660383,0.026571429,0.00351467
586485279,0.331045455,-0.006853637
586512913,-0.0768,0.014882307
68008953,1.07075,-0.006668466
718100182,-0.191791667,-0.009138123
68012253,0.6753,-0.022192757
67896469,-1.388625,-0.009692052
68008965,-0.2885,0.019107194
68008483,0.337,0.008063105
572228248,0.4148,0.008692349
779699950,0.56075,-0.024673224
68106083,0.949428571,0.021643012
779701633,-0.60175,0.003343172
704251363,-0.732416667,-0.027413277
572226133,-0.0951,0.003704364
554737135,-1.028,-0.004569154
554711328,-0.191666667,0.005959776
792655623,-0.412928571,0
51797804,-0.29883871,-0.027412954
756565720,-1.685,-0.019351399
68008967,0.8665,-4.08E-07
68008966,-0.1475,0.012184277
586528939,-0.408909091,0.001912575
757073117,3.050444444,0.019582023
779262987,5.164285714,-0.015992041
83586860,1.301666667,-0.012113614
80734067,-0.8016,0.014359937
68152720,-1.7865,0.014255385
83587952,0.2765,0.003916328
792584421,-0.32675,0.016448342
807535561,0.371185185,-0.00191261
51810266,-0.1395,0.005140489
792603856,-1.1014,-0.027414063
554737133,0.1175,-0.011114221
772379762,0.07175,0.014582481
724084467,-0.085045455,0.007186191
586834063,0.154928571,-0.01404169
565397012,2.15225,0.002797373
772344283,2.49,0.011168996
75047018,-0.5665,0.005290604
724102335,-0.684181818,1.65E-07
724102311,-0.279109589,0.010965752
550086684,2.891083333,-0.023839089
550087595,1.916166667,-0.01018221
67192909,2.843466667,-0.00391626
792455112,-1.8799,-0.012336749
771947832,0.587444444,0.002005977
63629993,-0.134210526,-0.003426829
61880732,0.954125,-0.001015154
550087674,-1.641588235,-0.002586178
576443080,-1.6142,-0.004895527
61967834,1.7795,0.006326279
771913608,-0.208428571,0.00210898
576422472,-0.729625,-0.005076675
771913611,1.105928571,-0.004895424
67195026,1.071222222,0.010153653
554703405,-0.02625,0.003426985
762624555,-0.051,-0.002885945
792860123,0.133133333,-0.027412891
75420855,0.96,-0.004421745
762737108,-0.2206,0
540662418,-0.915733333,-0.027412686
770387011,0.05475,0.003046078
572217770,0.644111111,-0.027413123
554710457,-0.998,-0.027413288
756023340,-1.102,-0.027413212
51761593,1.071470588,-0.027412796
586492403,-0.38085,0.027412807
586488072,-1.451,0.027413977
586488152,0.237875,-0.024527914
762573216,1.864,-0.0058747
79663787,1.24,-0.011287775
586486044,-0.056166667,0.012792954
554725797,2.229,0.016448076
762746905,0.1109,0.027414005
76184380,-1.0894,0.011574861
792788843,-0.9576,-0.00548271
61369372,0.110666667,-0.001612494
762453620,-0.147285714,-0.007355168
762381758,0.8563,-0.006987896
75421470,-0.991666667,0.014761467
74867089,0.734222222,-0.005482867
75018060,-1.09125,0.020104702
762932496,0.473615385,-0.022430391
762917440,-0.874,-0.009138477
792664657,-1.82815,-0.003289698
52572195,-0.444333333,0.010280139
52566663,-1.820615385,-0.001191866
550085899,-1.174866667,0.01535198
550096733,0.137,-0.004569114
576439190,-0.3355,-0.008343631
576439189,-0.1805,-0.004838068
78684650,2.89245,-0.02243061
67199845,1.621,-0.027414898
711688547,0.495333333,0.013707301
769269453,-1.193916667,-0.011496613
792749302,1.531,-0.022747367
61350903,0.0822,0.012564922
76184394,-2.322,-0.00986934
769248320,-0.021555556,0.001096217
554735574,-0.023,0.027415238
51751598,0.0465,0.000559528
554731780,0.114,0.007107272
51927309,-0.025333333,0
51927312,0.014,-6.99E-08
792479244,-0.634666667,0.016225044
726166660,0.172125,0.002610446
68025215,-0.163645161,0.01442798
51921919,-0.18275,0.002492206
572247732,0.1014,0.001827475
783450223,-0.3125,0.001713617
67903987,-0.093,0.007675581
727971342,1.255,-0.010661229
727971338,-0.557666667,-0.004767849
51739991,-0.471727273,0.00446269
727971314,0.544,-0.021147799
727971302,0.2945,0.006527097
792712064,0.783090909,-0.017444708
67945549,-0.5358,-0.002916154
727971306,0.69375,-0.002741632
554711229,0.268111111,-0.002383891
67943746,0.14175,0.017314064
79803237,-0.269625,0.015664789
783452367,0.101166667,0.005959621
554734681,0.429578947,0.0051863
762579929,-0.37,0.006190522
75355676,-0.918,0.010099986
763665663,0.147875,-0.01435971
586510629,-0.412666667,-0.008507873
67958405,-0.413,0.009138301
67945002,0.520666667,0.003655207
51808270,-0.591,0
586533231,0.287666667,-0.002610901
762563507,0.364714286,-0.004264295
77317800,-0.916,-0.020728049
565391530,0.113555556,-0.004328559
67945550,-1.152333333,0.016970304
792526111,-0.139052632,0.00304616
62063531,0.531,-0.007012938
74906344,-0.235777778,-0.005140249
762455303,-0.4830625,-0.015230518
75419467,0.633,-0.017134331
